N	FastICA_GaussianNB	FactorAnalysis_GaussianNB	PCA_GaussianNB	FastICA_KNeighborsClassifier	FactorAnalysis_KNeighborsClassifier
1	1.15892805607	1.0	1.0	5.0	5.0
2	1.04287397433	1.06409004839	1.08328634547	4.18513359983	4.24580685883
3	1.60881443299	1.9997766323	2.04271907216	4.1204209622	4.16579037801
4	2.24567982456	2.96300877193	2.45291666667	3.92705701754	4.01515789474
5	2.91487569989	3.33824860022	2.86908846585	3.88135274356	3.92347592385
6	3.41284831846	3.38569663693	2.94518416838	3.69788606726	3.77736902311
7	3.69597475456	3.63013090229	3.15058438523	3.55479663394	3.67390369331
8	3.90828953655	4.05959388438	3.05698518872	3.45166746297	3.56647873865
9	3.8431990232	3.8343003663	3.09056410256	3.36215384615	3.55126739927
10	3.91202996255	3.96938327091	3.17602496879	3.20861423221	3.41118601748
11	4.10253830439	4.21179264556	3.27643003064	3.09040858018	3.30659346272
12	4.31422675026	4.3532183908	3.50639498433	3.01546499478	3.21231452456
13	4.37568029939	4.3278695536	3.4993744988	2.97556802994	3.21054263566
14	4.52798358413	4.54656634747	3.49214227086	2.93153488372	3.16684541724
15	4.33796078431	4.64334453782	3.57324369748	2.86817927171	3.17685154062
16	4.58048192771	4.74432013769	3.62628227194	2.834205393	3.01894434882
17	4.05493975904	4.72581251837	3.58318542463	2.81004407875	3.04041727887
18	4.33463414634	4.60830472749	3.56587774767	2.75404396266	2.9330021078
19	4.39259259259	4.69235185185	3.57039506173	2.71444444444	2.92037654321
20	4.3475	4.67551265823	3.53052531646	2.69139240506	2.88993670886
21	4.32303797468	4.88713404739	3.52103862382	2.6682440766	2.9594092827
22	4.27899433899	4.65131535132	3.5435964036	2.60857142857	2.81575091575
23	4.49144907724	4.5948530417	3.53818865345	2.57227614491	2.81323308271
24	4.48317192982	4.74792280702	3.60790877193	2.57184561404	2.84244210526
25	4.30245045045	4.88911711712	3.57548828829	2.53624504505	2.86593873874
26	4.2135579415	4.66166604961	3.55569048501	2.49751943725	2.75599407627
27	4.3496194825	4.40332572298	3.54248858447	2.48462709285	2.67143074581
28	4.30503912363	4.58282472613	3.58335680751	2.46190923318	2.69917840376
29	4.38478873239	4.52960965795	3.56057947686	2.40805633803	2.70334004024
30	4.19315113872	4.52977225673	3.55945341615	2.43560248447	2.66883643892
31	4.31074168798	4.66497016198	3.54900255754	2.42451832907	2.68023017903
32	4.33649692713	4.65710272169	3.6058999122	2.43666374012	2.71561018437
33	4.29493441882	4.54869289914	3.58689280868	2.43484396201	2.68089552239
34	4.28853146853	4.62064335664	3.58547319347	2.41899300699	2.66145454545
35	4.32494230769	4.73785576923	3.57786538462	2.40693269231	2.65019230769
36	4.21689484127	4.65816468254	3.59126984127	2.40581349206	2.61648809524
37	4.30161802355	4.59938556068	3.6508141321	2.38818228367	2.58183307732
38	4.30517186674	4.66326811211	3.61293495505	2.34928609201	2.57314648334
39	4.30166120219	4.50695081967	3.63873224044	2.34910382514	2.56289617486
40	4.27202259887	4.65804519774	3.63803389831	2.3369039548	2.5762259887
41	4.17900642899	4.53020455874	3.5932554062	2.32771478667	2.52772647575
42	4.33242589232	4.6683000605	3.56485178463	2.31057471264	2.56440411373
43	4.38176691729	4.69406015038	3.60637844612	2.29352130326	2.54966165414
44	4.31002597403	4.72575324675	3.57650649351	2.27945454545	2.53812987013
45	4.24001346801	4.54913131313	3.59280808081	2.26129292929	2.49259259259
46	4.19187980433	4.65041229909	3.56157931516	2.25576519916	2.46023759609
47	4.38419448476	4.66722786647	3.60087082729	2.23420899855	2.46220609579
48	4.33853695324	4.64239819005	3.57932126697	2.22093514329	2.44180995475
49	4.28949019608	4.70679215686	3.54365490196	2.22216470588	2.45283137255
50	4.27601632653	4.54006530612	3.52411428571	2.19779591837	2.43224489796
51	4.26862244898	4.66455782313	3.49482993197	2.18794217687	2.41494897959
52	4.27260638298	4.72845744681	3.49427304965	2.18434397163	2.43195035461
53	4.23831637373	4.58307123034	3.49200740056	2.16956521739	2.41047178538
54	4.1713236715	4.61138164251	3.51310144928	2.1566763285	2.41244444444
55	4.29347474747	4.48012121212	3.52894949495	2.14505050505	2.38965656566
56	4.11192389006	4.54558139535	3.49919661734	2.12921775899	2.3656448203
57	4.1284606866	4.5396013289	3.48287929125	2.12666666667	2.36677740864
58	4.09816492451	4.60104529617	3.4943554007	2.11828106852	2.36113821138
59	4.1582195122	4.54256097561	3.51324390244	2.12117073171	2.36804878049
60	4.0411025641	4.50615384615	3.5161025641	2.11523076923	2.34323076923
61	4.03910931174	4.67295546559	3.47395411606	2.10175438596	2.36545209177
62	3.98631578947	4.50438122333	3.50543385491	2.10549075391	2.32028449502
63	4.0812012012	4.56984984985	3.4984984985	2.10618618619	2.31597597598
64	4.05806349206	4.4579047619	3.43679365079	2.07247619048	2.3159047619
