N	KNeighborsClassifier	GaussianNB	RandomForestClassifier	DecisionTreeClassifier
1	0,06022635408245756	0,14430072756669363	0,11802748585286985	0,06790622473726758
2	0,1278072682727644	0,09187423438138015	0,12862392813393222	0,17435688035933034
3	0,14892739273927394	0,11716171617161716	0,1481023102310231	0,1646039603960396
4	0,15298040850354314	0,10337640683618174	0,13880783659858273	0,18257607336390164
5	0,16722830665543387	0,07076663858466722	0,2038753159224937	0,17775905644481887
6	0,17369093231162197	0,1111111111111111	0,16900808854831845	0,210727969348659
7	0,18244406196213425	0,18287435456110154	0,20352839931153185	0,22762478485370052
8	0,18442801217920834	0,21487603305785125	0,20139190952588082	0,2583732057416268
9	0,18469656992084432	0,2757255936675462	0,19832893579595426	0,2805628847845207
10	0,1925300133392619	0,3245887060915963	0,22054246331702979	0,2432192085371276
11	0,21088129496402877	0,3376798561151079	0,21627697841726617	0,2814748201438849
12	0,21509777171441563	0,3956343792633015	0,2578444747612551	0,28012733060482037
13	0,22171113155473782	0,3983440662373505	0,21895124195032198	0,2847286108555658
14	0,2308050255932992	0,44439274080967894	0,2652396463471382	0,2601209865053513
15	0,23587570621468926	0,4759887005649718	0,269774011299435	0,3130885122410546
16	0,2553596950929014	0,4959504525964745	0,2558361124344926	0,2725107193901858
17	0,22999035679845709	0,48649951783992285	0,29508196721311475	0,2994214079074253
18	0,23718887262079064	0,5305026842362128	0,2567105905319668	0,26500732064421667
19	0,2450592885375494	0,5449604743083004	0,3018774703557312	0,341403162055336
20	0,24712356178089045	0,5432716358179089	0,304152076038019	0,30865432716358177
21	0,25177304964539005	0,5440729483282675	0,28216818642350555	0,3232016210739615
22	0,24679322729604924	0,5649050795279631	0,2755259107234479	0,27347357619291945
23	0,25675675675675674	0,5821205821205822	0,3108108108108108	0,33471933471933474
24	0,25961032122169564	0,608214849921011	0,296998420221169	0,2975250131648236
25	0,26093916755602986	0,5875133404482391	0,33404482390608325	0,3271077908217716
26	0,27798810167658194	0,625743645213629	0,35965386695511087	0,3320713899405084
27	0,2637061403508772	0,6260964912280702	0,30756578947368424	0,32894736842105265
28	0,27904391328515843	0,6281267370761534	0,3318510283490828	0,30294608115619787
29	0,2779030439684329	0,6476888387824127	0,31397970687711385	0,2948139797068771
30	0,27787307032590053	0,6363636363636364	0,34133790737564323	0,36363636363636365
31	0,2737819025522042	0,6490719257540604	0,34454756380510443	0,339907192575406
32	0,29605650382577986	0,660977045320777	0,31371394938198943	0,3437316068275456
33	0,2861409796893668	0,6762246117084827	0,3375149342891278	0,35961768219832735
34	0,2868405093996361	0,6901152213462705	0,33778047301394787	0,31958762886597936
35	0,28201970443349755	0,6637931034482759	0,3866995073891626	0,34421182266009853
36	0,2864290181363352	0,6710444027517198	0,3614759224515322	0,3514696685428393
37	0,28017789072426935	0,693138500635324	0,3595933926302414	0,3418043202033037
38	0,30342156229825695	0,6778566817301485	0,3382827630729503	0,3537766300839251
39	0,28937007874015747	0,6876640419947506	0,33989501312335957	0,36286089238845143
40	0,29753168779186123	0,6991327551701134	0,3789192795196798	0,3675783855903936
41	0,3093622795115332	0,7204884667571235	0,34260515603799185	0,364314789687924
42	0,2939958592132505	0,6984126984126984	0,35403726708074534	0,36231884057971014
43	0,29985955056179775	0,7373595505617978	0,3356741573033708	0,40519662921348315
44	0,2930664760543245	0,7219442458899213	0,37240886347390995	0,3759828448892066
45	0,31149927219796214	0,7023289665211062	0,37045123726346435	0,37554585152838427
46	0,31208302446256486	0,7309117865085248	0,4158636026686434	0,38176426982950334
47	0,30060422960725075	0,6986404833836858	0,3459214501510574	0,3768882175226586
48	0,2817551963048499	0,7259430331023865	0,35719784449576597	0,4064665127020785
49	0,282574568288854	0,7394034536891679	0,37127158555729983	0,37127158555729983
50	0,2898318654923939	0,7277822257806245	0,3819055244195356	0,3907125700560448
