N	PCA	FactorAnalysis	FastICA	TruncatedSVD
1	0,23160873080032338	0,39854486661277283	0,046079223928860144	0,13823767178658045
2	0,07676602694977541	0,06165781951817068	0,04001633319722336	0,055941200489995915
3	0,1481023102310231	0,14315181518151815	0,040016501650165015	0,13985148514851486
4	0,3192997082117549	0,1917465610671113	0,040016673614005835	0,1271363067944977
5	0,4119629317607414	0,061499578770008424	0,039174389216512215	0,06866048862679022
6	0,5363984674329502	0,48659003831417624	0,0604512558535547	0,11281396338867604
7	0,5258175559380379	0,463855421686747	0,13941480206540446	0,14888123924268504
8	0,5154414963027403	0,45367551109177906	0,20487168334058287	0,19225750326228794
9	0,4788918205804749	0,4067722075637643	0,2590149516270888	0,29155672823219
10	0,470431302801245	0,3863939528679413	0,3468208092485549	0,282792352156514
11	0,4932553956834532	0,4073741007194245	0,37589928057553956	0,3556654676258993
12	0,49113233287858116	0,3910868576625739	0,44429286039108684	0,36743974533879037
13	0,46826126954921804	0,33348666053357867	0,46826126954921804	0,41858325666973323
14	0,4993020009306654	0,40809678920428105	0,5141926477431363	0,429502093997208
15	0,4571563088512241	0,3498116760828625	0,5080037664783428	0,4830508474576271
16	0,4564078132444021	0,38113387327298714	0,5636017151024297	0,4859456884230586
17	0,4450337512054002	0,3876567020250723	0,5564127290260367	0,517357762777242
18	0,4895070766227428	0,4143484626647145	0,56564177647633	0,5192776964372865
19	0,5316205533596838	0,47579051383399207	0,5711462450592886	0,5237154150197628
20	0,5242621310655328	0,45222611305652827	0,5797898949474737	0,5492746373186593
21	0,5420466058763931	0,45390070921985815	0,5754812563323202	0,5506585612968592
22	0,5561826577732171	0,48589020010261674	0,586454592098512	0,5295023088763469
23	0,5608108108108109	0,49480249480249483	0,5997920997920998	0,5904365904365905
24	0,583464981569247	0,5139547130068457	0,6145339652448657	0,5860979462875198
25	0,5965848452508005	0,528281750266809	0,6104589114194237	0,628068303094984
26	0,6106003244997296	0,5511087074094105	0,6306111411573824	0,6116819902650081
27	0,6200657894736842	0,5564692982456141	0,649671052631579	0,6239035087719298
28	0,622568093385214	0,5764313507504168	0,6325736520289049	0,6609227348526959
29	0,6381059751972943	0,6014656144306652	0,6471251409244645	0,629086809470124
30	0,6455117209834191	0,5934819897084048	0,6523727844482562	0,6420811892510006
31	0,6450116009280742	0,5904872389791184	0,6629930394431555	0,6583526682134571
32	0,6397881106533255	0,5891701000588582	0,6433195997645674	0,6733372572101236
33	0,6660692951015532	0,6206690561529271	0,6565113500597372	0,6654719235364397
34	0,6664645239539114	0,6106731352334749	0,6616130988477865	0,7058823529411765
35	0,666256157635468	0,6139162561576355	0,6828817733990148	0,687807881773399
36	0,6860537836147592	0,6385240775484677	0,6991869918699187	0,6991869918699187
37	0,6975857687420585	0,6429479034307497	0,6880559085133418	0,6734434561626429
38	0,7062621045836023	0,6442866365397031	0,6901226597805036	0,6739832149774048
39	0,7093175853018373	0,6496062992125984	0,7093175853018373	0,7066929133858267
40	0,7111407605070047	0,6557705136757839	0,704469646430954	0,7024683122081388
41	0,7191316146540027	0,666214382632293	0,7082767978290366	0,7055630936227951
42	0,7308488612836439	0,6749482401656315	0,7142857142857143	0,7122153209109731
43	0,7134831460674157	0,6601123595505618	0,7226123595505618	0,7099719101123596
44	0,7283774124374554	0,6897784131522516	0,7140814867762688	0,7019299499642602
45	0,7307132459970888	0,6863173216885007	0,7285298398835517	0,6965065502183406
46	0,7353595255744997	0,6819866567828021	0,7057079318013343	0,7131208302446257
47	0,7492447129909365	0,6918429003021148	0,7137462235649547	0,7258308157099698
48	0,7513471901462664	0,6951501154734411	0,7397998460354118	0,7136258660508084
49	0,7519623233908949	0,695447409733124	0,7472527472527473	0,7205651491365777
50	0,755004003202562	0,7085668534827863	0,7445956765412329	0,7405924739791834
