N	FastICA_GaussianNB	FactorAnalysis_GaussianNB	PCA_GaussianNB	FastICA_KNeighborsClassifier	FactorAnalysis_KNeighborsClassifier
1	0.11137599281	0.264473487517	0.148724721393	0.0541360767383	0.0425989667979
2	0.102214875743	0.166839383131	0.139746567328	0.118857826109	0.121037402981
3	0.147166003377	0.197812426472	0.205087946482	0.143012608138	0.131408915657
4	0.112488125257	0.206734633153	0.195141133469	0.162211396709	0.143618123514
5	0.207582787555	0.160478066654	0.171369336285	0.159109295983	0.146819086015
6	0.207598456893	0.169054289353	0.17218570394	0.166958526207	0.170770796606
7	0.217439285851	0.212067801516	0.151152290908	0.167865800413	0.17050410495
8	0.175607924924	0.200317717395	0.157426152076	0.163525685021	0.174751634725
9	0.192646149322	0.188533034935	0.166347298704	0.170056941949	0.171539184017
10	0.169739972589	0.17636661082	0.170537032837	0.181864380483	0.188315569746
11	0.185001057685	0.159885790033	0.166628443112	0.192472139685	0.188680996969
12	0.190482667019	0.164703032556	0.16149824169	0.193975431177	0.186348793501
13	0.172884916002	0.15305610603	0.146261942221	0.197921886675	0.188055441055
14	0.196940102376	0.14937532881	0.14408379539	0.199542386068	0.195395039427
15	0.172550562712	0.145957548004	0.145841728682	0.1960641943	0.184524834124
16	0.176622203145	0.14068870937	0.150685702832	0.191599791268	0.198718965822
17	0.167358076439	0.147186443763	0.150695264608	0.191141125383	0.190710781371
18	0.175849942156	0.141536268655	0.150863259096	0.19888376398	0.202051948825
19	0.175430297811	0.144127233436	0.153571202251	0.202945424943	0.20400126678
20	0.160100221414	0.137194597901	0.150582035996	0.196696791901	0.195041131755
21	0.170936036875	0.130857498424	0.156681229487	0.19604901934	0.193076131933
22	0.189675238601	0.141481151745	0.157331374792	0.198798347825	0.198634540183
23	0.179411355711	0.140991381611	0.153931711908	0.199700847739	0.201657144503
24	0.168857981142	0.132090222764	0.147490410847	0.198001839506	0.189728674548
25	0.163609236961	0.133055928933	0.15041933582	0.196867312788	0.190266069055
26	0.169917298512	0.139531690374	0.152525012066	0.192591182881	0.200897373285
27	0.171802759951	0.143843320452	0.155828959345	0.195230539269	0.200484516145
28	0.163274936916	0.136412351757	0.151665435922	0.200451516398	0.202765707195
29	0.162128124308	0.132163421147	0.151324852475	0.199787781777	0.20186005904
30	0.161334355326	0.131176377989	0.149519650649	0.200981017143	0.204378674246
31	0.159185056817	0.13457680863	0.151567371732	0.197718172956	0.205158049046
32	0.171175647014	0.133221258976	0.151290329982	0.195978503032	0.204719177136
33	0.170404529995	0.136904377778	0.149892035163	0.196738302349	0.203867532023
34	0.165064743693	0.131765797429	0.147530013582	0.195927930481	0.201120564154
35	0.162031245374	0.130264034088	0.152329100775	0.199146868805	0.195508744035
36	0.166939245493	0.132154194842	0.152759195094	0.194891502936	0.196326623135
37	0.165526239755	0.136041068385	0.15867442146	0.200596509106	0.19727469435
38	0.169310890764	0.13340822629	0.157920927317	0.197699056995	0.193185095199
39	0.166950564411	0.135928332456	0.159164381955	0.196036220841	0.194625999711
40	0.168135180412	0.142181328678	0.160912302994	0.195195434544	0.193913553112
41	0.161271701028	0.138093368651	0.156765978236	0.194740735203	0.188212727149
42	0.164194023518	0.142399467868	0.157877080153	0.194905185208	0.194554780182
43	0.159461273417	0.13692641173	0.156772869848	0.198281151661	0.194125083029
44	0.165418836458	0.136220897428	0.158208753657	0.194771276458	0.193615326599
45	0.164625491343	0.140673980081	0.158429967383	0.193493394691	0.190458458049
46	0.163098309389	0.132298505284	0.156910772694	0.19397629628	0.19853545585
47	0.151317175224	0.133490677176	0.152314100806	0.194781497863	0.192917098972
48	0.159424819614	0.133315358243	0.150117900894	0.18930557067	0.195569767179
49	0.159502758203	0.134174375775	0.148391661675	0.189015557643	0.193754192911
50	0.152246896464	0.129462594727	0.14779794749	0.187318391849	0.193213611454
51	0.156911232706	0.131942233728	0.149141511868	0.186993552412	0.184825746136
52	0.152504989611	0.130576182171	0.148443534207	0.183942944867	0.189914736957
53	0.147970670706	0.134092310987	0.148900709876	0.184363222223	0.189549410054
54	0.151521491106	0.132464769368	0.153794231162	0.183580069533	0.186754862593
55	0.146848108891	0.131850723857	0.153100923952	0.181215431881	0.187895643862
56	0.148296465822	0.133574374629	0.150402897379	0.181802371602	0.191391746292
57	0.141796229844	0.128913195793	0.146896696984	0.180293917037	0.187754700752
58	0.142044772593	0.129085262168	0.146661413661	0.176919308605	0.186172263648
59	0.141746170381	0.127477642321	0.146785815202	0.174028015824	0.183633453798
60	0.155098767791	0.127624018337	0.145964307221	0.172548433472	0.187521801915
61	0.140060089867	0.130376382484	0.149522177881	0.172715821583	0.186290136321
62	0.140206280983	0.131987231243	0.150800069426	0.177097950516	0.184733684768
63	0.138763553031	0.130266208285	0.144821022266	0.176320176658	0.18173157928
64	0.149999085801	0.127439175094	0.14493631816	0.176358100843	0.183100951218
